"어도비 시스템즈","ADBE","멕시코","테크놀로지","소프트웨어와 프로그래밍"
"델","DVMT","멕시코","테크놀로지","컴퓨터 데이터 저장 장치"
"VMware","VMW","멕시코","테크놀로지","소프트웨어와 프로그래밍"
"종목","기호","거래소","부문","산업"
"시스코 시스템즈","CSCO","멕시코","테크놀로지","통신 장비"
"HP Inc","HPQ","멕시코","테크놀로지","컴퓨터 하드웨어"
"IBM","IBM","멕시코","테크놀로지","컴퓨터 서비스"
"퀄컴","QCOM","멕시코","테크놀로지","통신 장비"
"웨스턴 디지털","WDC","멕시코","테크놀로지","컴퓨터 데이터 저장 장치"
"Infineon","IFXN","멕시코","테크놀로지","반도체"
"파이서브","FISV","멕시코","테크놀로지","소프트웨어와 프로그래밍"
"NXP Semiconductors","NXPIN","멕시코","테크놀로지","반도체"
"Twilio","TWLO","멕시코","테크놀로지","소프트웨어와 프로그래밍"
"Broadcom","AVGON","멕시코","테크놀로지","반도체"
"르그랑","LRN","멕시코","테크놀로지","전자 장비와 제어기"
"노스롭 그루먼","NOC","멕시코","테크놀로지","통신 장비"
"인텔","INTC","멕시코","테크놀로지","반도체"
"페이스북","FB","멕시코","테크놀로지","컴퓨터 서비스"
"Hewlett Packard","HPE","멕시코","테크놀로지","소프트웨어와 프로그래밍"
"Illumina Inc","ILMN","멕시코","테크놀로지","과학과 기술 장비"
"오라클","ORCL","멕시코","테크놀로지","소프트웨어와 프로그래밍"
"TE 커넥티비티","TELN","멕시코","테크놀로지","전자 장비와 제어기"
"ASML 홀딩","ASMLN","멕시코","테크놀로지","반도체"
"애플","AAPL","멕시코","테크놀로지","통신 장비"
"텍사스 인스트루먼트","TXN","멕시코","테크놀로지","반도체"
"3D Systems Corp","DDD","멕시코","테크놀로지","컴퓨터 주변기기"
"Alphabet A","GOOGL","멕시코","테크놀로지","컴퓨터 서비스"
"엔비디아","NVDA","멕시코","테크놀로지","반도체"
"Twitter Inc","TWTR","멕시코","테크놀로지","컴퓨터 서비스"
"자일링스","XLNX","멕시코","테크놀로지","반도체"
"Just Eat","JEN","멕시코","테크놀로지","컴퓨터 서비스"
"Ubisoft Entertainment SA","UBIN","멕시코","테크놀로지","소프트웨어와 프로그래밍"
"Advanced Micro","AMD","멕시코","테크놀로지","반도체"
"시트릭스 시스템즈","CTXS","멕시코","테크놀로지","소프트웨어와 프로그래밍"
"Flex","FLEXN","멕시코","테크놀로지","반도체"
"퍼스트 솔라","FSLR","멕시코","테크놀로지","반도체"
"MercadoLibre","MELIN","멕시코","테크놀로지","컴퓨터 서비스"
"SINA Corp","SINAN","멕시코","테크놀로지","컴퓨터 서비스"
"UTStarcom Holdings","UTSI","멕시코","테크놀로지","통신 장비"
"액센츄어","ACNN","멕시코","테크놀로지","컴퓨터 서비스"
"Check Point Software Tech","CHKPN","멕시코","테크놀로지","소프트웨어와 프로그래밍"
"Salesforce.com","CRM","멕시코","테크놀로지","소프트웨어와 프로그래밍"
"인튜이트","INTU","멕시코","테크놀로지","소프트웨어와 프로그래밍"
"IPG Photonics Corp","IPGP","멕시코","테크놀로지","반도체"
"리서치인모션","BBN","멕시코","테크놀로지","소프트웨어와 프로그래밍"
"마이크로소프트","MSFT","멕시코","테크놀로지","소프트웨어와 프로그래밍"
"Allegion PLC","ALLEN","멕시코","테크놀로지","과학과 기술 장비"
"다나허","DHR","멕시코","테크놀로지","과학과 기술 장비"
"에머슨 일렉트릭","EMR","멕시코","테크놀로지","과학과 기술 장비"
"알파벳 C","GOOG","멕시코","테크놀로지","컴퓨터 서비스"
"마이크론 테크놀로지","MU","멕시코","테크놀로지","반도체"
"Spectris","SXSN","멕시코","테크놀로지","전자 장비와 제어기"
"액티비전 블리자드","ATVI","멕시코","테크놀로지","소프트웨어와 프로그래밍"
"카그너전트","CTSH","멕시코","테크놀로지","소프트웨어와 프로그래밍"